0.000, 0.000
0.001, 0.000
0.002, 0.000
0.003, 0.000
0.004, 0.000
0.005, 0.010
0.006, 0.010
0.007, 0.000
0.008, 0.010
0.009, 0.000
0.010, 0.000
0.011, 0.010
0.012, 0.000
0.013, 0.010
0.014, 0.030
0.015, 0.030
0.016, 0.030
0.017, 0.000
0.018, 0.020
0.019, 0.020
0.020, 0.010
0.021, 0.020
0.022, 0.020
0.023, 0.000
0.024, 0.040
0.025, 0.030
0.026, 0.010
0.027, 0.040
0.028, 0.010
0.029, 0.050
0.030, 0.050
0.031, 0.030
0.032, 0.040
0.033, 0.050
0.034, 0.040
0.035, 0.010
0.036, 0.010
0.037, 0.010
0.038, 0.040
0.039, 0.080
0.040, 0.070
0.041, 0.030
0.042, 0.040
0.043, 0.050
0.044, 0.030
0.045, 0.030
0.046, 0.040
0.047, 0.090
0.048, 0.040
0.049, 0.030
0.050, 0.030
0.051, 0.040
0.052, 0.050
0.053, 0.050
0.054, 0.040
0.055, 0.100
0.056, 0.010
0.057, 0.090
0.058, 0.080
0.059, 0.050
0.060, 0.070
0.061, 0.020
0.062, 0.090
0.063, 0.080
0.064, 0.080
0.065, 0.080
0.066, 0.060
0.067, 0.080
0.068, 0.020
0.069, 0.110
0.070, 0.090
0.071, 0.060
0.072, 0.040
0.073, 0.090
0.074, 0.090
0.075, 0.090
0.076, 0.130
0.077, 0.080
0.078, 0.050
0.079, 0.060
0.080, 0.100
0.081, 0.060
0.082, 0.070
0.083, 0.070
0.084, 0.070
0.085, 0.090
0.086, 0.080
0.087, 0.100
0.088, 0.050
0.089, 0.160
0.090, 0.070
0.091, 0.070
0.092, 0.100
0.093, 0.090
0.094, 0.110
0.095, 0.120
0.096, 0.090
0.097, 0.050
0.098, 0.110
0.099, 0.150
0.100, 0.100
0.101, 0.120
0.102, 0.120
0.103, 0.080
0.104, 0.080
0.105, 0.110
0.106, 0.090
0.107, 0.090
0.108, 0.150
0.109, 0.070
0.110, 0.070
0.111, 0.130
0.112, 0.110
0.113, 0.120
0.114, 0.120
0.115, 0.140
0.116, 0.150
0.117, 0.070
0.118, 0.040
0.119, 0.110
0.120, 0.080
0.121, 0.120
0.122, 0.160
0.123, 0.100
0.124, 0.100
0.125, 0.130
0.126, 0.140
0.127, 0.080
0.128, 0.090
0.129, 0.130
0.130, 0.140
0.131, 0.130
0.132, 0.100
0.133, 0.100
0.134, 0.100
0.135, 0.100
0.136, 0.110
0.137, 0.080
0.138, 0.190
0.139, 0.160
0.140, 0.140
0.141, 0.100
0.142, 0.170
0.143, 0.110
0.144, 0.110
0.145, 0.180
0.146, 0.180
0.147, 0.170
0.148, 0.160
0.149, 0.090
0.150, 0.120
0.151, 0.160
0.152, 0.100
0.153, 0.160
0.154, 0.140
0.155, 0.070
0.156, 0.170
0.157, 0.130
0.158, 0.170
0.159, 0.110
0.160, 0.180
0.161, 0.130
0.162, 0.230
0.163, 0.190
0.164, 0.180
0.165, 0.170
0.166, 0.220
0.167, 0.230
0.168, 0.180
0.169, 0.180
0.170, 0.180
0.171, 0.100
0.172, 0.140
0.173, 0.200
0.174, 0.170
0.175, 0.210
0.176, 0.150
0.177, 0.210
0.178, 0.150
0.179, 0.110
0.180, 0.140
0.181, 0.080
0.182, 0.180
0.183, 0.160
0.184, 0.170
0.185, 0.170
0.186, 0.150
0.187, 0.110
0.188, 0.200
0.189, 0.150
0.190, 0.190
0.191, 0.220
0.192, 0.160
0.193, 0.200
0.194, 0.240
0.195, 0.130
0.196, 0.260
0.197, 0.170
0.198, 0.170
0.199, 0.200
0.200, 0.200
0.201, 0.160
0.202, 0.190
0.203, 0.120
0.204, 0.240
0.205, 0.220
0.206, 0.130
0.207, 0.220
0.208, 0.220
0.209, 0.200
0.210, 0.170
0.211, 0.160
0.212, 0.170
0.213, 0.140
0.214, 0.150
0.215, 0.160
0.216, 0.200
0.217, 0.170
0.218, 0.200
0.219, 0.140
0.220, 0.120
0.221, 0.180
0.222, 0.180
0.223, 0.200
0.224, 0.210
0.225, 0.190
0.226, 0.220
0.227, 0.240
0.228, 0.200
0.229, 0.200
0.230, 0.210
0.231, 0.230
0.232, 0.150
0.233, 0.130
0.234, 0.190
0.235, 0.170
0.236, 0.220
0.237, 0.190
0.238, 0.310
0.239, 0.210
0.240, 0.210
0.241, 0.280
0.242, 0.170
0.243, 0.210
0.244, 0.200
0.245, 0.210
0.246, 0.130
0.247, 0.260
0.248, 0.190
0.249, 0.250
0.250, 0.170
0.251, 0.230
0.252, 0.210
0.253, 0.300
0.254, 0.170
0.255, 0.180
0.256, 0.260
0.257, 0.200
0.258, 0.160
0.259, 0.240
0.260, 0.190
0.261, 0.220
0.262, 0.240
0.263, 0.270
0.264, 0.240
0.265, 0.280
0.266, 0.220
0.267, 0.180
0.268, 0.150
0.269, 0.220
0.270, 0.220
0.271, 0.280
0.272, 0.250
0.273, 0.230
0.274, 0.270
0.275, 0.220
0.276, 0.200
0.277, 0.220
0.278, 0.180
0.279, 0.200
0.280, 0.260
0.281, 0.230
0.282, 0.250
0.283, 0.220
0.284, 0.230
0.285, 0.130
